Ulasan_Mentah;processed_text;hasil_validator
Tempatnya nyaman, disuguhi minuman lagi mantab;tempat nyaman suguh minum lagi mantab;neutral
Pelayan memuaskan, yang kurang cuma tempatnya yang panas, dan tempat parkir yang terlalu tinggi sehingga mobil saya mentok;layan muas yang kurang cuma tempat yang panas dan tempat parkir yang terlalu tingi sehinga mobil saya mentok;negative
Tempat nya bersih, rapi, luas, nyaman dilengkapi sofa2 yg empuk, pelayanan bintang 5 sangat ramah, gesit, dan detail dalam menjelaskan produk. Trims Tiga Putra;tempat nya bersih rapi luas nyaman lengkap sofa yang empuk layan bintang sangat ramah gesit dan detail dalam jelas produk terima kasih tiga putra;positive
Pelayanan: hangat, ramah dan sabar Tempat: bersih dan nyaman Harga: standar;layan hangat ramah dan sabar tempat bersih dan nyaman harga standar;positive
Tempatnya luas dan cozy. Pelayananan ramah banget dan teliti nerangin satu2 kegunaanya kepada cust.;tempat luas dan cozy pelayananan ramah banget dan teliti nerangin satu kegunaanya kepada cust;positive
Recommend good service;recomend good service;positive
"Menyenangkan, promotornya ramah""";senang promotor ramah;positive
Tempat bagus, lokasi strategis, pelayanan ramah dan cepat serta lengkap untuk pilihan jenis dan merek hp;tempat bagus lokasi strategis layan ramah dan cepat serta lengkap untuk pilih jenis dan merek hp;positive
Tempatnya bagus, nyaman, pelayanan ramah, tempat parkir luas yg jaga jg ramah dan responnya bagus, pelayanan di kasir jg bagus, saya baru 2x belanja disini...;tempat bagus nyaman layan ramah tempat parkir luas yang jaga juga ramah dan responya bagus layan di kasir juga bagus saya baru kali belanja sini;positive
Terbaik laaaaaa;baik lah;positive
Pelayanannya optimal sekali karena Mbaknya sabar dan lengkap dalam menjelaskan setiap hp yang saya tanyakan Tumpatnya juga nyaman dan bagus;pelayananya optimal sekali karena mbak sabar dan lengkap dalam jelas tiap hp yang saya tanya tumpat juga nyaman dan bagus;positive
Pelayanannya ramah dan yang paling penting semua data bisa dipindahkan, terutama data chat yang ada di wa;pelayananya ramah dan yang paling penting semua data bisa pindah utama data chat yang ada di wa;positive
Pelayanan yang sangat ramah, barang yang cukup lengkap dari segala merk;layan yang sangat ramah barang yang cukup lengkap dari segala merk;positive
Wowwwkeyyy...;wo;neutral
Saya merekomendasikan anda semua yg ingin mencari handphone sesuai dengan budget dan spek sesuai keinginan anda disini, karena pelayanannya yg cepat dan ramah, serta fasilitas didalamnya yg keren abiss, sukses terus untuk tiga putra;saya rekomendasi anda semua yang ingin cari handphone sesuai dengan budget dan spek sesuai ingin anda sini karena pelayananya yang cepat dan ramah serta fasilitas dalam yang keren habis sukses terus untuk tiga putra;positive
Tempatnya nyaman dan pegawainya ramah;tempat nyaman dan pegawai ramah;positive
Pelayanan menyenangkan, tempat kuas dan nyaman, sales berpengetahuan luas, bahkan security pelayanan bagus, saat hujan menyimpan jaket agar tidak kehujanan;layan senang tempat kuas dan nyaman sales tahu luas bahkan security layan bagus saat hujan simpan jaket agar tidak hujan;positive
Layanan bagus,hrg bersaing;layan bagus hrg saing;positive
Recomended, tempat bagus dan nyaman, pelayanan salesx memuaskan, bisa memberikan rekomendasi ponsel sesuai budget dan kebutuhan..;recomended tempat bagus dan nyaman layan salesx muas bisa beri rekomendasi ponsel sesuai budget dan butuh;positive
Parkiran luas, pelayanan cepet banget. Gercep pelayanannya. Kalau dibilang ramah ngga juga, kalau dibilang jutek juga ngga. Tempat luas banget banyak pilihan HP dan aksesorisnya. Terima kasih tiga putra...;parkir luas layan cepat banget gercep pelayananya kalau bilang ramah enggak juga kalau bilang jutek juga enggak tempat luas banget banyak pilih hp dan aksesorisnya terima kasih tiga putra;positive
Layanan ramah, informatif, telaten, tempat nyaman, harga sesuai pasar. Cuma perlu atap untuk parkir motor, sehingga nyaman di musim hujan. Perlu disediakan tempat duduk terbuka untuk smoking area, buat2 bapak2 perokok yg menunggu pemindahan data..;layan ramah informatif telaten tempat nyaman harga sesuai pasar cuma perlu atap untuk parkir motor sehinga nyaman di musim hujan perlu sedia tempat duduk buka untuk smoking area buat bapak okok yang tungu pindah data;positive
Bagus sekali pelayan dan kelengkapan handphone disini, semangat Tiga Putra Malang;bagus sekali layan dan lengkap handphone sini semangat tiga putra malang;neutral
Seneng banget beli hp ditiga putra pelayanan sangat memuaskan tempat strategis dan nyaman banget ayo yg mau beli hp jgn ragu langsung capcus ketiga putra saja gk nyesel pasti dapat yg terbaik;senang banget beli hp tiga putra layan sangat muas tempat strategis dan nyaman banget ayo yang mau beli hp jangan ragu langsung capcus tiga putra saja enggak sesal pasti dapat yang baik;positive
Alhamdulillah selalu puas tiap belanja di Tiga Putra barang sudah pasti original harga termurah;alhamdulilah selalu puas tiap belanja di tiga putra barang sudah pasti original harga murah;positive
Bagus sekali buat pelayanan nya terimakasih toko tiga putra;bagus sekali buat layan nya terimakasih toko tiga putra;positive
Harganya miring dibanding toko lain,Itemnya jga banyak,salesnya ramah2 ngasih masukan hp yg kita butuhin.Tokonya gede&Bersih.;harga miring banding toko lain item juga banyak salesnya ramah asih masuk hp yang kita butuhin toko gede bersih;positive
Di Tiga putra kawi....pelayanan cepat tanpa ribet....puas dech belanja disini;di tiga putra kawi layan cepat tanpa ribet puas deh belanja sini;positive
Pilihannya banyak, dan staf nya ramah;pilihanya banyak dan staf nya ramah;positive
Pelayanan sgt memuaskan;layan sangat muas;positive
Tempatnya strategis, nyaman Pelayanan kepada customer sangat ramah;tempat strategis nyaman layan kepada customer sangat ramah;positive
Tempatnya enak..parkirnya gratis pelayanan nya juga ramah..harga juga terjangkau pas dpt cash back 200 pula..semog dpt dperrahankan dlm pelayanan customer..;tempat enak parkir gratis layan nya juga ramah harga juga jangkau pas dapat cash back pula semog dapat dperahankan dalam layan customer;positive
Pelayanan dan memiat;layan dan piat;positive
Baguuus;bagus;neutral
Pelayanan nya sangat ramah sekali kak . Tempatnya bagus nyaman sekali besar lagi .;layan nya sangat ramah sekali kak tempat bagus nyaman sekali besar lagi;positive
Pelayanan sangat ramah, tempatnya nyaman, kualitas produk sangat merakyat;layan sangat ramah tempat nyaman kualitas produk sangat rakyat;positive
Tempatnya enak luas produk lengkap dan mudah dijangkau. ada grapari dengan pelelayanan yang bagus. Mantaps;tempat enak luas produk lengkap dan mudah jangkau ada grapari dengan layan yang bagus mantaps;positive
Pelayanan ramah;layan ramah;positive
Puuaaasss banget deh belanja di tiga putra.banyak pilihan tipe dan merk dan juga tempatnya luas pelayanan nya ramah.;puuas banget deh belanja di tiga putra banyak pilih tipe dan merk dan juga tempat luas layan nya ramah;positive
Lokasi di pusat kota, deket juga dan parkiran luas. Pelayanan ramah, tidak dikerumuni oleh sales-sales di tempat lain (biasanya). HP yang dicari juga ready stock, jika barang lagi tidak ada indent semingguan sudah ada. Overall memuaskan beli gadget di sini. Aman dan ada undian berhadiahnya juga. Semoga dapet;lokasi di pusat kota dekat juga dan parkir luas layan ramah tidak kerumun oleh sales sales di tempat lain biasa hp yang cari juga ready stock jika barang lagi tidak ada indent seminguan sudah ada overal muas beli gadget di sini aman dan ada undi hadiah juga moga dapat;positive
Pelayananny sangat memuaskan..;pelayanany sangat muas;positive
Pelayanan menyenangkan, mbak sales-nya sabar ditanyai macem2. Semoga lebih baik lagi dan lebih murah lagi.;layan senang mbak sales nya sabar tanya macam moga lebih baik lagi dan lebih murah lagi;positive
Pelayanannya bagus banget, semoga tambah sukses ya tiga putra;pelayananya bagus banget moga tambah sukses ya tiga putra;positive
pelayanan ramah, harga merakyatt sukses selalu tiga putra is number on of gadget store;layan ramah harga rakyat sukses selalu tiga putra is number on of gadget store;positive
Pelayanan bagus bingit ciwinyi cakep bingit tempat bersih bingit rapi bingit sejuk dingin kaya kulkas 3 pintu. Pegawai ramah cakep2 cepet nice lah. Goodluck;layan bagus banget ciwinyi cakep banget tempat bersih banget rapi banget sejuk dingin kayak kulkas pintu pegawai ramah cakep cepat nice lah goodluck;positive
Pelayanan ramah tempat nya nyaman;layan ramah tempat nya nyaman;positive
Pelayanan baik dan ramah, tempatnya pun juga nyaman jdi betah mau balik lagiii. Keep the good work;layan baik dan ramah tempat pun juga nyaman jadi betah mau balik lagi keep the good work;positive
Uda 3x beli diTiga Putra dan smuanya memuaskan dari segi pelayanan,produknya dan harganya;sudah kali beli tiga putra dan smuanya muas dari segi layan produk dan harga;positive
biasa saja;biasa saja;neutral
Tempat beli hp yg recomended, harga oke, sales ramah dan proses gak ribet;tempat beli hp yang recomended harga oke sales ramah dan proses enggak ribet;positive
Baguss bangettt.. Pelayanannya juga ramah;bagus banget pelayananya juga ramah;positive
Tempat belanja HP dan asesoris paling nyaman di kota malang;tempat belanja hp dan asesoris paling nyaman di kota malang;positive
pelayanan sangat baik, ramah tempatnya juga oke, sangat recommended;layan sangat baik ramah tempat juga oke sangat recomended;positive
Sudah bagus dan baik dari tempat dan penampilan pegawai... hanya dri segi pelayanan meski sudah bagus tpi ada beberapa hal yg masih harus d tingkatkan...;sudah bagus dan baik dari tempat dan tampil pegawai hanya dari segi layan meski sudah bagus tapi ada beberapa hal yang masih harus di tingkat;negative
Sangat membantu khususnya after sales utk pemindahan data dr hp lama;sangat bantu khusus after sales untuk pindah data dari hp lama;positive
Beli disini memuaskan customer service nya bagus dan bisa mengarahkan ke inginan consumen. Garansinya langsung ke makernya. Good;beli sini muas customer service nya bagus dan bisa arah ke ingin consumen garansi langsung ke makernya good;positive
Pelayanan memuaskan, tempat representatif... Semoga kedepan tetap dipertahankan bahkan bisa lebih baik lagi;layan muas tempat representatif moga depan tetap tahan bahkan bisa lebih baik lagi;positive
Sukses terus . Nanti balik beli HP lg;sukses terus nanti balik beli hp lagi;positive
Recomended banget;recomended banget;positive
Jossss;jos;neutral
Toko HP yg cukup lengkap di malang, pelayanannya ramah. Bisa kredit juga;toko hp yang cukup lengkap di malang pelayananya ramah bisa kredit juga;positive
Harga dan koleksi varian hp nya sama dengan di counter resmi, tapi sayang promonya gak sama, cuma kelebihannya disini macem one stop center segala macem merk hp. Oh ya parkirnya gratis itu mantap!;harga dan koleksi varian hp nya sama dengan di counter resmi tapi sayang promonya enggak sama cuma kelebihanya sini macam one stop center segala macam merk hp oh ya parkir gratis itu mantap;neutral
"Pelayanan di tiga putra sangat bagus,karyawannya Ramah"",dan kualitas hpnya gak perlu di ragukan pokoknya tiga putra the best lahh☺";layan di tiga putra sangat bagus karyawanya ramah dan kualitas hpnya enggak perlu di ragu pokok tiga putra the best lah;positive
Belanja di Tiga Putra Kawi lebih terjangkau, pelayanan customer service yang sangat membantu, barang barang yang terbaru udah tersedia juga, dan yang paling penting harganya lebih murah dari toko toko yang ada di malang;belanja di tiga putra kawi lebih jangkau layan customer service yang sangat bantu barang barang yang baru sudah sedia juga dan yang paling penting harga lebih murah dari toko toko yang ada di malang;positive
Tempat nyaman pelayanan ramah..;tempat nyaman layan ramah;positive
Terima kasih atas pelayanan , respon yang Baik barang bagus;terima kasih atas layan respon yang baik barang bagus;positive
Tempatnya nyaman dan bersih. Pegawainya ramah dan baik pada customer. Variant warna & type handphone pun lengkap. Sukses terus Tiga Putra!;tempat nyaman dan bersih pegawai ramah dan baik pada customer variant warna type handphone pun lengkap sukses terus tiga putra;positive
humble service, good explanation, and spacy parking;humble service good explanation and spacy parking;positive
Cuman bisa bilang ISTIMEWA.;cuman bisa bilang istimewa;neutral
pelayanan bagus bgt ramah murah senyum;layan bagus banget ramah murah senyum;positive
Pelayanan memuaskan mulai dr dtg sampai pulang. Stafnya ramah, harga murah. Cm tolong diadain program cicilan 0% untuk pembayaran pke CC, soalnya srg ngutang, hahaa...;layan muas mulai dari datang sampai pulang staf ramah harga murah cuma tolong diadain program cicil untuk bayar pakai sih soal srg ngutang hahaa;positive
Tmp nya nyaman dan luas, hp yg dijual lengkap, pelayanan bagus dan cepat, saat nunggu dpt teh hangat.. rekomended bgt, sdh langganan beli hp nya sll disini, terbaik deh di kota malang.. tetep dipertahankan ya....dan dibanyakin lg promo2nya ya kak...;tmp nya nyaman dan luas hp yang jual lengkap layan bagus dan cepat saat nungu dapat teh hangat rekomended banget sudah langanan beli hp nya sl sini baik deh di kota malang tetap tahan ya dan dibanyakin lagi promo nya ya kak;positive
Pelayanan mantap & memuaskan.;layan mantap muas;positive
Senang sekali sudah belanja di Tiga Putra Kawi, disambut dan dilayani dengan ramah dan komunikatif. Recommended banget untuk yang cari gadget.. Sukses selalu Tiga Putra Kawi;senang sekali sudah belanja di tiga putra kawi sambut dan layan dengan ramah dan komunikatif recomended banget untuk yang cari gadget sukses selalu tiga putra kawi;positive
Tempat luas, parkir mobil cukup nyaman, pelayanan ramah & sabar, pilihan hp ada : samsung, oppo, vivo, dll.....pernah beli hp 2 dalam 2 minggu di tempat ini....terima kasih atas pelayanannya...;tempat luas parkir mobil cukup nyaman layan ramah sabar pilih hp ada samsung opo vivo dulu pernah beli hp dalam mingu di tempat ini terima kasih atas pelayananya;positive
Memuaskan.. harga lebih murah dibanding bbrp counter hp resmi, pelayanan baik dan ramah. Dan bisa bantu pindahkan data kontak,foto,video, aplikasi dari hp lama ke hp baru yg kalo dikerjakan sendiri butuh waktu berhari2/sampe mingguan, ini cuma 1,5jam (data yg dipindahkan juga sangat besar sampe 40GB).;muas harga lebih murah banding berapa counter hp resmi layan baik dan ramah dan bisa bantu pindah data kontak foto video aplikasi dari hp lama ke hp baru yang kalo kerja sendiri butuh waktu hari sampai minguan ini cuma jam data yang pindah juga sangat besar sampai gb;positive
100/10, servicee nya mantapp, baik2 banget kakaknya, proses mudah dan cepat;servicee nya mantap baik banget kakak proses mudah dan cepat;positive
Pelayanan sangat memuaskan ramah dan barangnya semua oke oke;layan sangat muas ramah dan barang semua oke oke;positive
Ngiler hape anyar, hape dewe wes 1 dekade;ngiler hape anyar hape dewe wes dekade;positive
Pelayanannya ramah banget.. Penjelasan produk detail dan keren banget.. Harga bersaing dengan toko lain.. di jamin lebih murah.. Sukses selalu;pelayananya ramah banget jelas produk detail dan keren banget harga saing dengan toko lain di jamin lebih murah sukses selalu;positive
Pelayanan yang ramah, dan ruang tunggu yg nyaman. Area parkir luas dan free parkir.;layan yang ramah dan ruang tungu yang nyaman area parkir luas dan free parkir;positive
Pelayanannya ramah, tempatnya nyaman,parkir juga mudah dan luas;pelayananya ramah tempat nyaman parkir juga mudah dan luas;positive
Pelayanan sangat puas. Ramah dan sopan. Meskipun banyak nanya mas nya sangat respon hehe..semoga tambah sukses @Tigaputrapasuruanjatim;layan sangat puas ramah dan sopan meski banyak tanya mas nya sangat respon hehe moga tambah sukses;positive
Barang2nya sangat murah dan juga pelayanan sangat membuat pelanggan ingin kembali;barang nya sangat murah dan juga layan sangat buat pelang ingin kembali;positive
Pelayanan ramah banget... Barang nya juga bagus...;layan ramah banget barang nya juga bagus;positive
Pelayanan ramah,santun,tempat bersih harga terjangkau barang jga ok gk ada masalah.;layan ramah santun tempat bersih harga jangkau barang juga ok enggak ada masalah;positive
Terima kasih kepada tiga putra, sudah baik pelayanannya, semoga lebih meningkat, semoga rejekinya lancar semua, Aamiin ☺;terima kasih kepada tiga putra sudah baik pelayananya moga lebih tingkat moga rejekinya lancar semua amin;positive
Pelayanan memuaskan Harga OK Barang Original Puaslah belanja d sni;layan muas harga ok barang original puas belanja di sni;positive
Pelayannan ramah dan tempat nyaman , hanya agak panas ga AC;layan ramah dan tempat nyaman hanya agak panas enggak ac;positive
"Untuk pelayanan sangat ramah dan orang"" Yg di sana juga suka becanda, tempatnya juga enak santai. Untuk pemilihan barangnya juga ada macam"" Tipe per merk hp jadi kita menang pilih, yang mau beli hp recommended bgt di 3 putra ini";untuk layan sangat ramah dan orang yang di sana juga suka becanda tempat juga enak santai untuk pilih barang juga ada macam tipe per merk hp jadi kita menang pilih yang mau beli hp recomended banget di putra ini;positive
Pengalaman pribadi, dtg d sambut dengan ramah. Ditanya keperluan ( disini cum terima orang beli hape dan ekosistemnya , klo mau lahiran di sebelahnya) cek hape yg d inginkan trus pilih metode pembayaran kau mau apa kredit bisa, lengkap mau pilih apa ada semua. Pake kk bisa , tunai super bisa sekali. G ada biaya parkir drpd d onoh d prat prit. Sukses selalu tiga putra;alam pribadi datang di sambut dengan ramah tanya perlu sini cum terima orang beli hape dan ekosistem kalo mau lahir di belah cek hape yang di ingin terus pilih metode bayar kau mau apa kredit bisa lengkap mau pilih apa ada semua pakai ke bisa tunai super bisa sekali enggak ada biaya parkir daripada di sono di prat prit sukses selalu tiga putra;positive
Area parkir luas, tempatnya luas. Staff nya ramah;area parkir luas tempat luas staf nya ramah;positive
pelayanannya ramah tempatnya luas bagus dan strategis parkiran luas. danhp apapun ada disana.;pelayananya ramah tempat luas bagus dan strategis parkir luas danhp apa ada sana;positive
Sejauh ini masih menjadi tempat favorit di saat butuh gadget baru. Pelayanan bagus, akses mudah, tempat parkir pun aman dan nyaman.;jauh ini masih jadi tempat favorit di saat butuh gadget baru layan bagus akses mudah tempat parkir pun aman dan nyaman;positive
Tempat dan pelayanan bagus...;tempat dan layan bagus;positive
Tempat beli hp, tablet yg nyaman, salesnya ramah dan menguasai produk dgn baik..;tempat beli hp tablet yang nyaman salesnya ramah dan kuasa produk dengan baik;positive
Untuk saya yang baru pertama kali beli produk di toko Tiga Putra, pelayanannya baik, ramah, tempatnya nyaman, dan secara keseluruhan memuaskan;untuk saya yang baru pertama kali beli produk di toko tiga putra pelayananya baik ramah tempat nyaman dan cara seluruh muas;positive
Pelayanannya cukup bagus dengan fasilitas yang memadai;pelayananya cukup bagus dengan fasilitas yang pada;positive
Terimakasih ya.... Pelayanannya beli hp d antar kerumah ...hehheeh;terimakasih ya pelayananya beli hp di antar rumah heheeh;positive
pelayanan ramah, tempat nya juga luas dan cukup lengkap;layan ramah tempat nya juga luas dan cukup lengkap;positive
Lokasi strategis, tempatnya nyaman, barang yg dijual cukup lengkap, pelayanan cukup prima.;lokasi strategis tempat nyaman barang yang jual cukup lengkap layan cukup prima;positive
Tempatnya bersih dan luas, ada banyak kursi buat duduk jadi yang nemenin gak capek. pelayanan sangat ramah dan pengecekan barang secara mendetail.;tempat bersih dan luas ada banyak kursi buat duduk jadi yang nemenin enggak capek layan sangat ramah dan kece barang cara detail;positive
pertahankan terus ya keramahannya;tahan terus ya keramahanya;positive
Pelayanan Ramah, barang ready stok.. harga bersahabat banyak diskonnya .. sukses selalu ya;layan ramah barang ready stok harga sahabat banyak disko sukses selalu ya;positive
mantapp poll..sukses truss;mantap pol sukses terus;positive
Beli hp di Tiga Putra dijamin GK nyesel.pelayananx sangat baik...salesx ramah2...terimakasih Tiga Putra.;beli hp di tiga putra jamin enggak sesal pelayananx sangat baik salesx ramah terimakasih tiga putra;positive
Pelayanannya ramah, tempat bersih dan nyaman. Memuaskan ketika beli disini;pelayananya ramah tempat bersih dan nyaman muas ketika beli sini;positive
Tempat yg bersihdan nyaman,customer servis yg sangat membantu dan ramah;tempat yang bersihdan nyaman customer servis yang sangat bantu dan ramah;positive
Pelayanannya baik,, macem 2pilihan, tempat nyaman ...maju dan sukses deh buat Tiga putra dimana pun;pelayananya baik macam pilih tempat nyaman maju dan sukses deh buat tiga putra mana pun;positive
Murah berkwalitas dan sales ramah;murah berkwalitas dan sales ramah;positive
Pelayanan bagus, ramah, sales ga memaksa beli bgt, pembayaran bisa combine cash dan debut, thanks.;layan bagus ramah sales enggak paksa beli banget bayar bisa combine cash dan debut thanks;positive
Pelayanan bagus Salesnya berpengalaman;layan bagus salesnya alam;positive
Miminnya baik banget. Untuk harga lebih miring dari toko sebelah. Tapi produknya ++;mimi baik banget untuk harga lebih miring dari toko belah tapi produk;positive
Nice dan nyaman....;nice dan nyaman;positive
Pelayanan super ramah, cepat, penjelasan baik, pembayaran mudah dan harganya terjangkau;layan super ramah cepat jelas baik bayar mudah dan harga jangkau;positive
Langganan beli hp disini;langanan beli hp sini;positive
Pelayanan yang bagus dan karyawannya ramah-ramah;layan yang bagus dan karyawanya ramah ramah;neutral
Belanja di 3putra seruh, lengkap,oranya rmah;belanja di putra seruh lengkap oranya rmah;positive
Terpercaya dan dijamin original 100%;percaya dan jamin original;neutral
Alhamdulilah pelayanannya bagus dan memuaskan dan ramah;alhamdulilah pelayananya bagus dan muas dan ramah;positive
Tempatnya Ok dan pelayananya sangat baik;tempat ok dan pelayananya sangat baik;positive
Sudah deket rumah..harga murah.selisih sama sebelah..produk g pernah cacat..istimewa dah...;sudah dekat rumah harga murah selisih sama belah produk enggak pernah cacat istimewa deh;positive
Tempat luas,pelayan ramah jika ingin beli hp mantapkan dulu hp apa yang ingin di beli kerena anda akan di tawarin hp lain yang tidak anda cari dan itu hal biasa;tempat luas layan ramah jika ingin beli hp mantap dulu hp apa yang ingin di beli rena anda akan di tawarin hp lain yang tidak anda cari dan itu hal biasa;positive
Service ramah, pelayanan cepat,;service ramah layan cepat;positive
Sy berlanggana beli dan credit Hp di sini;saya berlangana beli dan credit hp di sini;neutral
Pelayanannya ramah,,,dan enak di ajak konsultasi;pelayananya ramah dan enak di ajak konsultasi;positive
Banyak pilihan playanan ramah ramah;banyak pilih playanan ramah ramah;positive
Bagus. Tempatnya gede. Gak semua pegawainya ramah. Khususnya yg cewek;bagus tempat gede enggak semua pegawai ramah khusus yang cewek;positive
Pelayanan papan atas;layan papan atas;positive
"Staf di dalam sih bersahabat, tetapi security/ tukang parkir nya punya attitude issue. Bisa2 nya bilang dgn gak sopan ""Kalau mau drop off jangan lama2!"" Hemmm....kayanya 2 menit aja gak sampe. Kalau yg di dalam mobil gak ditenangin kaya nya bakal di damprat tu satpam. Mau beli hp hati jg sambil kesel jg.";staf di dalam sih sahabat tetapi security tukang parkir nya punya atitude isue bisa nya bilang dengan enggak sopan kalau mau drop of jangan lama hem kaya menit saja enggak sampai kalau yang di dalam mobil enggak ditenangin kayak nya bakal di damprat itu satpam mau beli hp hati juga sambil kesel juga;negative
Keren..lengkap..dan SDM nya pinter2 mengenai gadget;keren lengkap dan sdm nya pintar kena gadget;positive
Pelayanan memuaskan, tempat nyaman, parkir luas dan banyak tipe dan merk;layan muas tempat nyaman parkir luas dan banyak tipe dan merk;positive
Pelayanan cepat dan efisien. Tempat luas dan nyaman;layan cepat dan efisien tempat luas dan nyaman;positive
Strategis;strategis;neutral
Pelayanan memuaskan, tingkatkan.;layan muas tingkat;positive
Salesnya ramah2, komunikatif juga. berbagai merk ada dan bisa dicoba. Xiaomi, apple, samsung, huawei, oppo, realme, duh masih banyak lagi kyknya. Ada toilet, parkir luas.. ruangannya nyaman. Wifinya kenceng.. Tempat duduk tersedia banyak.. empuk dan nyaman.;salesnya ramah komunikatif juga bagai merk ada dan bisa coba xiaomi aple samsung huawei opo realme duh masih banyak lagi kayak ada toilet parkir luas ruanganya nyaman wifinya kencang tempat duduk sedia banyak empuk dan nyaman;positive
Sukaa sekali beli hp dsni.. pelayananya baik dan tempatx luass;suka sekali beli hp sini pelayananya baik dan tempatx luas;neutral
Segala handphone berbagai merk ada....pelayanan ok..;segala handphone bagai merk ada layan ok;positive
Siiip;sip;neutral
Sangat recommended;sangat recomended;positive
Tolong kondisikan pegawainya.. Saya mau beli Poco F3, malah dirayu terus untuk ambil reno6.. sampai dikasih informasi yang salah lagi, kasih info jelek tentang Poco... Ya mungkin mereka dapat bonus kl bisa jual reno6,, hehe;tolong kondisi pegawai saya mau beli poco malah rayu terus untuk ambil reno sampai kasih informasi yang salah lagi kasih info jelek tentang poco ya mungkin mereka dapat bonus kalo bisa jual reno hehe;negative
Tempat belanja HP terlengkao dan termuraj di Malang.. Karyawan ramah dan sangat membantu menemukan HP idaman.;tempat belanja hp terlengkao dan termuraj di malang karyawan ramah dan sangat bantu temu hp idam;positive
3putra;putra;neutral
Tempatnya bagus,bersih dan pelayananannya sangat baik;tempat bagus bersih dan pelayanananya sangat baik;positive
Gak pernah beli disini,semoga bisa beli hp baru;enggak pernah beli sini moga bisa beli hp baru;neutral
Pelayanan ramah, harga terjangkau dan barang juga lumayan lengkap.;layan ramah harga jangkau dan barang juga lumayan lengkap;positive
mau tanya redmi note 10 berapa ya harganya;mau tanya redmi note berapa ya harga;positive
Pelayanan nya sangat memuaskan, kakaknya jg ramah❤️;layan nya sangat muas kakak juga ramah;positive
baik;baik;positive
Pelayanan ramah. Dan banyak pilihan .. recomen . Mantap;layan ramah dan banyak pilih recomen mantap;positive
Puas dengan pelayanan tiga putra kawi,tempat dan ruang tunggu nyaman;puas dengan layan tiga putra kawi tempat dan ruang tungu nyaman;positive
Tempat cari hape yg paling variatif.. pelayanannya bagus.. mbak mas nya ramah.. kita diberi info yg detail tentang hape yg akan kita beli.. dan setelah pembelian kita juga di tanyain kendalanya pokok nya mantaabbs;tempat cari hape yang paling variatif pelayananya bagus mbak mas nya ramah kita beri info yang detail tentang hape yang akan kita beli dan telah beli kita juga di tanya kendala pokok nya mantaabs;positive
Kalau beli smartphone ada disini;kalau beli smartphone ada sini;neutral
Pelayanan ramah, sales cepat tanggap. Tempatnya nyaman. Toko gadget terpercaya.;layan ramah sales cepat tangap tempat nyaman toko gadget percaya;positive
Tempat nyaman, harga terjangkau, banyak pilihan gadget, terpercaya, pegawainya ramah, pelayanannya memuaskan. Terimakasih Tiga Putra✨;tempat nyaman harga jangkau banyak pilih gadget percaya pegawai ramah pelayananya muas terimakasih tiga putra;positive
Parkir luas n pelayanan nya ramah ...;parkir luas layan nya ramah;positive
Semoga tetap amanah Tiga putra,tambah jaya selalu,semakin maju kedepannya;moga tetap amanah tiga putra tambah jaya selalu makin maju depa;positive
Pelayanan nya oke;layan nya oke;positive
Lengkap dan Murah;lengkap dan murah;neutral
beli hp selalu disini;beli hp selalu sini;positive
Sangat rekomen untuk membeli smartphone;sangat rekomen untuk beli smartphone;positive
Pelayanannya ramah, harga terjangkau, okelah pokoknya;pelayananya ramah harga jangkau oke pokok;positive
Pelayanan sangat ramah;layan sangat ramah;positive
one of the best gadget store in town;one of the best gadget store ini town;neutral
Tempatnya luas..pelayanan ok;tempat luas layan ok;positive
Nyaman tdk banyak penyunjung, pelayanan ramah;nyaman tidak banyak penyunjung layan ramah;positive
Pelayanan ramah, tempat ok, ruang tunggu di teras lebih ditingkatkan;layan ramah tempat ok ruang tungu di teras lebih tingkat;positive
affordable price with excellent service <3;afordable price with excelent service;neutral
Toko HP yg ngak kalah sama market place bisa tukar tambah lagi pelayanan bagus sekali;toko hp yang enggak kalah sama market place bisa tukar tambah lagi layan bagus sekali;positive
Untuk kredit syaratnya apa aja kak ? :);untuk kredit syarat apa saja kak;neutral
Pelayanan ramah , lengkap , dan ada hadiah menarik kalau ada promo menarik !!;layan ramah lengkap dan ada hadiah tarik kalau ada promo tarik;positive
Pelayanannya bagus saat beli Iphone XR;pelayananya bagus saat beli iphone xr;positive
Toko hp yg relatif lengkap dengan harga relatif murah. Pelayanan baik dan ramah. Semoga tambah sukses dan berkembang.;toko hp yang relatif lengkap dengan harga relatif murah layan baik dan ramah moga tambah sukses dan kembang;positive
pelayanan bagus,,sales nya ramah..dan terbukti toko hape termurah dan terlengkap;layan bagus sales nya ramah dan bukti toko hape murah dan lengkap;positive
Pelayanannya okey...;pelayananya okey;neutral
Enak belanja disini, pelayanan ramah, tempat nyaman;enak belanja sini layan ramah tempat nyaman;positive
Alhamdulillah pelayanannya sangat ramah, Maaf saya gak bisa berkata-kata. Tp intinya .;alhamdulilah pelayananya sangat ramah maaf saya enggak bisa kata kata tapi inti;neutral
Tempat oke pelayanan bagus;tempat oke layan bagus;neutral
Good service and can be trusted;good service and can be trusted;positive
Ok mantap;ok mantap;positive
