text,sentiment_before,sentiment_after
Toko Tiga Putra Handphone Centre terletak dijalan utama Kota Malang yang mudah dijangkau masyarakat. Toko Tiga Putra Handphone Centre layanan karyawan yang bagus. Toko Tiga Putra Handphone Centre ada banyak pilihan HP berbagai merk. Toko Tiga Putra Handphone Centre ada juga sepeda motor listrik dan juga ada ruang tunggu bagi konsumen.,negative,negative
Selalu sip pelayanannya mantap,positive,positive
"Pelayanan lama dan pegawai kurang handal dalam proses penjualan. Jadi kemarin saya dan rekan saya membeli 3 hydrogel untuk sekaligus dilakukan pemasangan. Ketika awal sampai kami disambut SPG/pegawai, dan kami bertanya2 tentang barang yg ingin kita beli, namun ketika bertanya tentang harga barang tersebut harga yg disampaikan oleh SPG/pegawai beberapa kali berganti2, disini saya mulai agak aneh karena terkait harga saja kok bisa berubah2. Setelah proses pembayaran kami diminta menunggu, namun karena dirasa lama kurang lebih 15 menit tidak ada informasi lagi dari SPG/pegawai dan kasir sama sekali, maka kami inisiatif bertanya, dan ternyata disampaikan ada kendala sistem. Kondisi di meja kasir banyak SPG/pegawai yg berkumpul dan hanya melihat2 se keliling, namun tidak ada satupun yg menghampiri kami untuk memberikan info tentang kendala yg mereka alami. Selanjutnya SPG/pegawai yg awal menyambut kami memberikan barang yg kami beli, dan mulai melakukan proses pemotongan hydrogel dan pemasangannya. Namun yg aneh adalah kami memesan 3 hydrogel tapi proses yang dilakukan oleh SPG/pegawai tersebut adalah mengerjakannya satu persatu dilakukan pemotongan dan bolak balik mengambil satu persatu hydrogel di meja kami, kenapa tidak langsung diambil semua dan dilakukan proses pemotongan, kenapa harus bolak balik ke meja kami yang jaraknya juga lumayan jauh . Kemudian untuk proses pemasangannya pun juga luamaaaaa, lebih dari 40 menit hanya untuk 1 hp, sepertinya SPG/pegawai tersebut tidak paham cara pemasangannya, karena ketika kita merasa terlalu lama pada akhirnya kita hampiri SPG tersebut, baru temannya pada dateng bantuin. Setelah dibantu temannya kurang lebih 15 menit selesai pengerjaan 3 hp. Ketika menghampiri, kami dapati juga ternyata SPG melakukan kesalahan dalam proses pemasangan hydrogel di hp teman saya karena prosesnya dilakukan pengulangan dari awal . Setelah proses selesai tidak ada satupun SPG/pegawai yg meminta maaf atas kejadian tersebut. Dan hasil dari pemasangan masih terdapat gelembung2 udara pada pojokan hp kami. Mohon pihak tiga putra dapat meningkatkan service pelayanannya. Terima kasih",negative,negative
"Kesini beli pelindung hp, disambut sama promotornya. Dari awal pegawainya uda bingung harga, bingung jenisnya apa aja. Awal masih oke, disuruh bayar ke kasir. Dikasir sempet troble, lama sekali. Ternyata sistemnya error. Dari awal kalau memang error kenapa tidak diinfokan, agar customernya tidak lama menunggu tanpa ada kejelasan. Akhirnya disuruh menunggu lagi, dari situ terlihat pegawainya kurang profesional. Karna saat itu beli 3 pelindung hp, ternyata di prosesnya satu-satu dan lamaaa sekali. Sy disuruh menunggu, hampir setngah jam 1 hp saja belum selesai. Akhirnya sy samperin pegawainya, ternyata hp sy diulang prosesnya karna ada kesalahaan. Disitu pegawainya tidak ada info lagi kalau ada kendala. Dan yg menghandle hanya 1 orang. Setelah sy tungguin di depan pegawainya baru temen2nya bantu handle. Mungkin untuk next nya pegawainya lebih komunikatif dan saling bantu ya. Dan hasil akhirnya pun kurang, tidak rapi. Dengan harga yg tidak murah dan waktu yg lama benar2 mengecewakan. Semoga lebih diperbaiki lagi ya. dan di akhir pegawainya tidak mengucapkan terima kasih/permntaan maaf. Semoga tidak terulang untuk customer lainnya.",negative,negative
"Luas,penataannya dan layanannya bagus Disambut mulai dari pintu luar trs diarahkan. Petugas parkirnya ramah",negative,positive
Barang bagus,negative,negative
"Hape anak saya Oppo layarnya pecah rusak, karena beli di sini dan masih masa garansi, kami service ke sini. Uang service ganti layar Rp800ribu, ternyata layarnya bukan asli Oppo dan tampaknya diservis sendiri oleh toko. Layar tidak sensitif, ngelag, dan bisa gerak2 sendiri. Setelah kami bawa ke service Oppo resmi baru ketahuan bahwa layarnya palsu. Setelah diganti layar ASLI yang baru dengan harga sama Rp800ribu, sangat berbeda, kualitasnya lebih baik dan gak ngelag. Not recommended shop !!! BAD SERVICE and ATTITUDE!!!!",negative,negative
Pusat elektronik dan gadget di kota Malang,negative,negative
"Overall tempatnya bagus pelayanan bagus. cuman tolong seragamnya dibenerin. paha mbak nya keliatan, ngelayani orang duduk jejer tp pahanya keliatan itu enggak enak. walaupun sesama cewek. asli itu mbaknya pasti gak nyaman, belum lagi klau ketemu pelanggan genit, kasian pegawainya. tolong di ganti seragamnya. jual hp bakal tetep laris walaupun paha nya ketutupan, asal pelayanan bagus.",positive,positive
"Tidak sesuai spesifikasi hp kecewa, sales hanya mementingkan penjualan",positive,positive
"Kesini beliin anak android murah Samsung A04e. Ke counter Samsung, yang jaga ditanyain gak jawab sambil telponan. Nanya pake kartu kredit bisa gak, karena masa iya beli hape bayar pake cash, diarahin ke kasir. Kasirnya mau ditanyain malah ngotot minjem KTP dulu, padahal saya ini mau nanya nanya dulu pembayaran bisa pake kartu apa aja. Udah gitu kasirnya ngomong pake bentak bentak kayak orang gak sekolah.",negative,negative
The service of the staff is all good. However the security is very impolite and arrogant. This is the security. Please educate and teach him some manners.,positive,positive
"Saya punya pengalaman buruk di tempat ini, baru sampe parkiran mobil. Kebetulan mobil parkirnya sedikit melewati garis, kiri-kanannya tdk ada mobil lain. Satpamnya langsung bentak-bentak dan marah-marah.. saya tdk jadi turun mobil, dan langsung cari tempat jual hape lain.. tolong manajemen diperbaiki, kami ini customer.. masak baru datang aja sudah ngga ramah sama sekali.",negative,negative
"Tempat beli HP yang lengkap. Ada berbagai merk, dari Oppo, Realme, Xiomi dll. Seneng banget sama pelayanannya. Ramah, responsif dan solutif. Dibantu hingga HP siap digunakan. Diberikan saran HP yg cocok sesuai kebutuhan customer. Tempatnya luass, barangnya lengkap, parkiran luas. Pembayarannya bisa cashless.",positive,positive
Begitu dateng langsung disambut sama spb nya ya ..cuma yg bikin kesel itu setelah dijelasin panjang lebar soal hp yg mau qta beli..dan uda deal dengan harga segitu..ternyata harga awal beda saat mau pembayaran di kasir..beda 200rb itu banyak lo..begitu dikomplain alasannya ternyata promonya uda gk berlaku..ntah itu cuma akal2an salesnya atau tehnik marketingnya emang seperti itu ya..kalau ditanya mau balik kesitu lagi atau gk..kynya gk deh ya..,positive,positive
"Beli tampered glass untuk belakang hp samsung a14 saya hasilnya sangat buruk, benar benar buruk. 1 Hari pake sudah banyak yang ngelotok dari tempered glass belakangnya, sudah dibenerin sama pegawainya sekali tapi masih kualitasnya sangat jelek",negative,negative
Akses utk masuk area parkir terlalu tinggi Tidak ramah untuk city car,negative,negative
bagus enak ga dipantau sales jadi kita bebas mau melihat sambil berfikir heheeee ramah. sering beli disini dari papaku dan aku.,positive,positive
"Lokasi bersih dan luas, pelayanan baik, hp yang dijual lebih lengkap dari pada di tempat lain",negative,negative
"Beli hape olwais ke @TIGA PUTRA HP OFFICIAL makin oke servisnya kmrn dapat banyak gift Ama soft drink dan dilayani best staff kak Firman product Knowledge JUARA, sabar, telaten, lincah dan mengerti kebutuhan clientnya sukses selalu kak Tuhan memberkati",positive,positive
Kalo tempat ini adalah tempat dimana aku pertama kali beli hp oppo a12s nice² + kalo tempat ini dekat dengan taman selamet yah ok² + mau tanya kenapa kalo mau lemari minuman nya kok dikunci kenapa gak harus nya dibuka yah????????,negative,negative
"Banyak pilihan. Kadang ada promo. Bisa pake kartu kredit tertentu dg bunga 0%, bisa cicilan bunga 0 %. Pelayanan ramah, disambut mulai dari parkiran. Garansi resmi",positive,positive
Mau beli iphone 14 sdh ketemu staf toko diberitahu harga 25juta Giliran sampe kasir harga naik menjadi 27 juta Alasan barang indenan orang Ngga profesional,positive,positive
Great store display and awesome people,positive,positive
Bisa TT n lumayan lengkap,negative,negative
tempatnya asri. bagus. luas. staff ramah. perfekto ✔️✔️,positive,positive
"Bersih, nyaman dan pelayanannya ramah dan cepat tanggap",positive,positive
Mantap lengakp karywan ramah2 banyak discoundnya :)),positive,positive
"Stok HP apa saja ada, padahal agak lama model yg aku pesan. Keren. Para pegawai ramah dan sat set cepet pelayanannya. Murah senyum semua. Lengkap juga karena jual aksesorisnya jd gak perlu cari di tempat lain. Makasih banyak yaa..",negative,negative
"Tempat strategis , koleksi cukup bervariasi dan pelayanan ramah",negative,negative
"Kesini mau beli ip 14 pro max Katanya ada promo mandiri dan emang ada , dr pihak bank jg cicilan 0% Tapi yg paling ga masuk akal dari pihak toko di charge 9.5% (setau saya cc max cuman 3%) Jadi ip 14 pro harga 22.000 disuru bayar 24 jt make sense atau tidak menurut anda ??",negative,negative
"pelayanan super lama padahal sepi, pasang screenguard nggak rapi sama sekali. jangan pasang screenguard disini.",positive,positive
Sdh 2x saya beli smartphone di sini..service nya Ok..pertahankan !!!,positive,negative
Pelayanan mantab . Ramah,positive,positive
Pelayanan nya sangat baik dan ramah banget,positive,positive
"Menarik n pelayanannya bagus, cepat n ramah",neutral,neutral
Tempat bersih dan rapi parkir enak,neutral,neutral
Mantab pelayanan kemarin beli hp ke tiga putra di layani sampek jm 10 lebih sampek tutup,positive,positive
"Pelayanan sangat ramah dan cepat, harganya bersaing, koleksi hpnya juga lengkap, ditambah mereka juga menjual aksesoris hp.",negative,positive
Mau beli HP dgm jaminan kwalitas yg tdk akan pernah mengewakan ya disini...,positive,positive
Tempatnya nyaman dan SPG nya ramah,positive,positive
Nyaman...,positive,positive
Sip,neutral,neutral
Pelayanannya ramah tamah,positive,positive
Terima kasih jasa pelayanan bagus. Ramah tamah ke konsumen. Maju terus tiga putra,positive,positive
Pelayanannya bagus n menerangkan fitur2 hp secara rinci.Semoga sukses selalu.,positive,positive
"Pelayanan ramah, banyak pilhan produk sampe pusing pilih, harga terbaik, luas dan nyaman, banyak kursi utk duduk, parkir mobil luas gratis.",positive,positive
"Langganan beli disini... Selain barang jaminan ori tempatnya jga nyaman, parkir luas & banyak pegawai yg siap membantu...",positive,positive
Pelayanan bagus si tpi kurang cepet aja ngelayaninya,positive,negative
Toko handphone dan printilan printilannya di jl kawi tak jauh dari MOG. Tokonya bersih dan luas dengan parkiran yang luas pula. Sering ada promo disini,positive,positive
Toko gadget di Malang jadi tambah luas ya,positive,negative
"Lokasi di pusat kota, tersedia berbagai smartphone dari semua brand. Di depan ada live music lagi",positive,negative
Mantep bersih dan nyaman,positive,positive
"Toko ini menyediakan HP samsung, vivo, infinix dsb. Lokasi disebelah mall Olimpic Garden Malang yang sangat strategis. Parkir luas, ruangan dingin, stok barang banyak. Pramuniaga menguasai barang yg dijual dan layanan cepat, ramah.",negative,negative
"Saya membeli HP tgl 29 Mei 2022, tidak ada masalah secara produk. Namun mohon di evaluasi mbak mbak kasir sangat tidak sopan dan tidak menunjukan etika baik bagi pelanggan.. Maaf baru sempat review karena baru ingat..",negative,negative
Harga bersaing dan sales nya ramah,positive,positive
"Produk nya berkualitas, pelayanan ramah, trkhr pasang ssd juga cepat, beli baterai ( baterainya bisa d charge trnyata) .. Harga sesuai kualitas produk",positive,positive
"Sip, pelayanan ramah, ruangan sangat nyaman",positive,positive
Mbaknya ramah .. komunikatif ... Sabar jugak,positive,positive
Pelayanan ramah dan stok barang lengkap,positive,positive
Sangat puas,positive,positive
Recommended,neutral,neutral
Bagus nyaman cepat pelayanannnya,positive,positive
"transaksi di tiga putra itu cepat gak ribet, selama ini kalau saya ingin beli hp, tinggal wa ingin hp type apa->ready->bayar dg m banking->tinggal ambil deh ke toko...sesimpel itu dan menyenangkan karena dibantu dg sales2 yg baik, sopan, dan informatif. Tempat ... Kalau tempatnya enak, luas, nyaman kalaupun ramai orang tidak sampai yg riuh, ramai Top deh Oh ya satu lagi yg saya suka, disini bisa bayar pakai kartu kredit (program cicilan)",negative,negative
"Tempat luas dan nyaman, seller ramah",positive,positive
"Alhamdulillah sdh langganan di tigaputra selalu puas sama produk dan pelayanan nya, semoga makin berkembang dan tingkatkan lagi pelayanannya ya kak..makasi",positive,positive
Pelayanan sangat bagus Segi tempat juga nyaman & strategis kalo mau beli handphone as always kesini sih❤️,negative,negative
Pelayananya sangat baik sekali dan tempatnya bersih rapi dan bagus,negative,negative
aaa suka bgt cs nya ramah sekali promotornya jelasin nya secara detail juga dpt free kopi jadi suka belanja di tiga putra,positive,positive
Bagus banget suka sama pelayanannya,positive,positive
Pelayanannya sangat baik .makasih ya kak,positive,positive
Sales nya ramah²...tempatnya nyaman...pelayanan memuaskan....jempol 4 deh buat tiga putra Kawi...tambah sukses buat kedepannya,positive,positive
"Pelayanannya bgs, kualitas produknya terbaik, pegawainya ramah2",positive,positive
Terbaikkkk,neutral,positive
Tiga Putra to be no 1 perfectooooo,neutral,neutral
Terpecaya,neutral,positive
Beli hp di tiga putra gajahmada....seru banget..dapat hadiah lohhh.........rekom banget buat semuanya!!!,neutral,positive
pelayanannya ramah dan tempatnya nyaman,positive,positive
Pelayannya ramah dan barangnya ready,positive,positive
"Recomended utk beli HP sesuai budget, segala jenis lengkap, pelayanan ramah dan cepat, penjelasan mudah dipahami dan tempatnya bersih mewah dan nyaman.",positive,positive
"Pelayanannya cepat, tempatnya luas dan bersih, dan barang terjamin, meskipun masih ada beberapa masalah kecil yang terjadi di kebanyakan toko hp, tempat ini bisa menjamin kualitas dan keaslian barang yang dibeli. Dan itu yang sebagian besar pencinta hp butuhkan.",negative,negative
"Pelayanan ramah, responsif dan sopan. Barang memuaskan, selain itu letak store mudah dijangkau. Di storenya penataan bagus. Display berdasarkan brand jadi pembeli tidak bingung mau mencari brand tertentu.",negative,negative
1 Kecepatan (9) 2 keramahan (9) 3 produk knowledge (8) 4 ketersediaan barang (8) 5 keaslian barang (9),positive,positive
"Pelayanannya ramah, cepat dan utk tempat nya cukup nyamann dan bersih... Kualitas brang yg di jual smua nya mantap dan original...",positive,positive
"Langganan klo beli smartphone di sini, layanan baik, harga menurut saya sesuai dgn banyaknya pilihan & service yg ditawarkan",positive,positive
"Terimkasih tiga putra, pelayanan dr sales dan semua nya memuaskan",neutral,neutral
"Tempatnya luas bersih dan nyaman,pegawai nya ramah polll",positive,positive
Toko dengan pelayanan yang nyaman dan ramah,positive,positive
"Tempat Bagus, nyaman lega",negative,negative
"Pelayanan memuaskan, tempat nyaman, harga oke",positive,positive
"Barangnya lengkap, pelayanannya ramah",positive,positive
"Cust.Servisnya kereen... super baik, humble juga humoris... anak2 nyaman gak rewel padahal lamaa bangets kan nungguin proses penyalinan data2 lama...",negative,negative
"Pelayanan bagus, barang original",positive,positive
Mau beli hp? Ya di tiga putra laah,positive,positive
"Pelayanan sangat baik, tempat nyaman, bersih, produk 100% original.",positive,positive
"Pelayanan cepat & ramah , mudah dalam membantu pindah data Tksh TigaPutra",positive,positive
"Tiga putra cabang turen pelayanan cepat, memuaskan ,sales-nya sopan murah senyum , semoga sukses selalu untuk tiga putra",positive,positive
"untuk pelayanan disini sangat bagus banget,kakak nya ramah sekali dan tempatnya sangat luas",positive,positive
Bagusss dan ramahh banget,positive,positive
Tempat nya nyaman pelayananya bagus… mbak nya ramah2 juga.. Sudah 4x beli hp d sini..,negative,negative
Pelayanan nya bagus,positive,positive
Toko yg nyaman,positive,positive
"Tiga putra Kawi recomend untuk yang mau beli Hp,karena disini kita akan dipandu juga ada producknowlednya juga,pegawaianya sangat ramah juga sabar tempatnya juga nyaman",positive,positive
"Selama saya bertransaksi diTiga Putra saya sangat puas pelayanannya dan keramatamahannya,kecepatan dalam melayani,semoga Tiga Putra selalu berkomitmen dalam pelayanan.",positive,positive
Disini tempatnya berbelanja hp dan aksesoris nya yang dijamin kualitasnya. Tempat yang nyaman dan pelayanan yang diberikan ok banget,negative,negative
Pelayanan nya bagus banget dan hp nya juga bagus,neutral,positive
memuaskan belanja di sini,negative,negative
"Pertama kali kesini bener² pelayanannya baik banget, salesnya ramah dan sabar melayani customer",positive,positive
"Harga lumayan miring,pelayan bagus,ramah respon cepat",positive,positive
Buat orang yang gatau mau beli hp spek bagus tapi aman di kantong si bisa ke sini bisa dikasi tau kelebihan kekurangan dan bisa dibantuin pindah data dll...dikasi minum juga wkwk... Tempatnya nyaman poo l,negative,negative
"Yg mo cari gadget berkualitas yuk di mari bang. Parkirnya luas banget, tempatnya juga bersih, pelayanan super ramah. Dijamin puas dg pelayanannya. Harga bersaing tipisss bro! Kalo soal pemahaman salesnya bisa diadu. Cari aksesoris juga ada. Eitss proses juga tetap dijaga lho! Apalagi pembelajaran balik daring lagi. Kalo gadgetnya kurang bagus bisa² ketinggalan terus ya kan?",positive,positive
"Tempatnya nyaman, disuguhi minuman lagi mantab",positive,positive
"Pelayan memuaskan, yang kurang cuma tempatnya yang panas, dan tempat parkir yang terlalu tinggi sehingga mobil saya mentok",negative,negative
"Tempat nya bersih, rapi, luas, nyaman dilengkapi sofa2 yg empuk, pelayanan bintang 5 sangat ramah, gesit, dan detail dalam menjelaskan produk. Trims Tiga Putra",positive,positive
"Pelayanan: hangat, ramah dan sabar Tempat: bersih dan nyaman Harga: standar",positive,positive
Tempatnya luas dan cozy. Pelayananan ramah banget dan teliti nerangin satu2 kegunaanya kepada cust.,positive,positive
Recommend good service,positive,positive
"Menyenangkan, promotornya ramah""",positive,positive
"Tempat bagus, lokasi strategis, pelayanan ramah dan cepat serta lengkap untuk pilihan jenis dan merek hp",positive,positive
"Tempatnya bagus, nyaman, pelayanan ramah, tempat parkir luas yg jaga jg ramah dan responnya bagus, pelayanan di kasir jg bagus, saya baru 2x belanja disini...",positive,positive
Terbaik laaaaaa,positive,positive
Pelayanannya optimal sekali karena Mbaknya sabar dan lengkap dalam menjelaskan setiap hp yang saya tanyakan Tumpatnya juga nyaman dan bagus,negative,negative
"Pelayanannya ramah dan yang paling penting semua data bisa dipindahkan, terutama data chat yang ada di wa",negative,negative
"Pelayanan yang sangat ramah, barang yang cukup lengkap dari segala merk",negative,negative
Wowwwkeyyy...,neutral,positive
"Saya merekomendasikan anda semua yg ingin mencari handphone sesuai dengan budget dan spek sesuai keinginan anda disini, karena pelayanannya yg cepat dan ramah, serta fasilitas didalamnya yg keren abiss, sukses terus untuk tiga putra",negative,negative
Tempatnya nyaman dan pegawainya ramah,positive,positive
"Pelayanan menyenangkan, tempat kuas dan nyaman, sales berpengetahuan luas, bahkan security pelayanan bagus, saat hujan menyimpan jaket agar tidak kehujanan",positive,positive
"Layanan bagus,hrg bersaing",positive,positive
"Recomended, tempat bagus dan nyaman, pelayanan salesx memuaskan, bisa memberikan rekomendasi ponsel sesuai budget dan kebutuhan..",positive,positive
"Parkiran luas, pelayanan cepet banget. Gercep pelayanannya. Kalau dibilang ramah ngga juga, kalau dibilang jutek juga ngga. Tempat luas banget banyak pilihan HP dan aksesorisnya. Terima kasih tiga putra...",positive,positive
"Layanan ramah, informatif, telaten, tempat nyaman, harga sesuai pasar. Cuma perlu atap untuk parkir motor, sehingga nyaman di musim hujan. Perlu disediakan tempat duduk terbuka untuk smoking area, buat2 bapak2 perokok yg menunggu pemindahan data..",positive,positive
"Bagus sekali pelayan dan kelengkapan handphone disini, semangat Tiga Putra Malang",negative,negative
Seneng banget beli hp ditiga putra pelayanan sangat memuaskan tempat strategis dan nyaman banget ayo yg mau beli hp jgn ragu langsung capcus ketiga putra saja gk nyesel pasti dapat yg terbaik,positive,positive
Alhamdulillah selalu puas tiap belanja di Tiga Putra barang sudah pasti original harga termurah,positive,positive
Bagus sekali buat pelayanan nya terimakasih toko tiga putra,positive,positive
"Harganya miring dibanding toko lain,Itemnya jga banyak,salesnya ramah2 ngasih masukan hp yg kita butuhin.Tokonya gede&Bersih.",negative,positive
Di Tiga putra kawi....pelayanan cepat tanpa ribet....puas dech belanja disini,positive,positive
"Pilihannya banyak, dan staf nya ramah",positive,positive
Pelayanan sgt memuaskan,positive,positive
"Tempatnya strategis, nyaman Pelayanan kepada customer sangat ramah",positive,positive
Tempatnya enak..parkirnya gratis pelayanan nya juga ramah..harga juga terjangkau pas dpt cash back 200 pula..semog dpt dperrahankan dlm pelayanan customer..,positive,positive
Pelayanan dan memiat,positive,positive
Baguuus,neutral,negative
Pelayanan nya sangat ramah sekali kak . Tempatnya bagus nyaman sekali besar lagi .,positive,positive
"Pelayanan sangat ramah, tempatnya nyaman, kualitas produk sangat merakyat",positive,positive
Tempatnya enak luas produk lengkap dan mudah dijangkau. ada grapari dengan pelelayanan yang bagus. Mantaps,positive,positive
Pelayanan ramah,positive,positive
Puuaaasss banget deh belanja di tiga putra.banyak pilihan tipe dan merk dan juga tempatnya luas pelayanan nya ramah.,positive,positive
"Lokasi di pusat kota, deket juga dan parkiran luas. Pelayanan ramah, tidak dikerumuni oleh sales-sales di tempat lain (biasanya). HP yang dicari juga ready stock, jika barang lagi tidak ada indent semingguan sudah ada. Overall memuaskan beli gadget di sini. Aman dan ada undian berhadiahnya juga. Semoga dapet",negative,negative
Pelayananny sangat memuaskan..,negative,negative
"Pelayanan menyenangkan, mbak sales-nya sabar ditanyai macem2. Semoga lebih baik lagi dan lebih murah lagi.",positive,positive
"Pelayanannya bagus banget, semoga tambah sukses ya tiga putra",positive,positive
"pelayanan ramah, harga merakyatt sukses selalu tiga putra is number on of gadget store",positive,positive
Pelayanan bagus bingit ciwinyi cakep bingit tempat bersih bingit rapi bingit sejuk dingin kaya kulkas 3 pintu. Pegawai ramah cakep2 cepet nice lah. Goodluck,negative,positive
Pelayanan ramah tempat nya nyaman,positive,positive
"Pelayanan baik dan ramah, tempatnya pun juga nyaman jdi betah mau balik lagiii. Keep the good work",positive,positive
"Uda 3x beli diTiga Putra dan smuanya memuaskan dari segi pelayanan,produknya dan harganya",negative,negative
biasa saja,negative,negative
"Tempat beli hp yg recomended, harga oke, sales ramah dan proses gak ribet",neutral,positive
Baguss bangettt.. Pelayanannya juga ramah,positive,positive
Tempat belanja HP dan asesoris paling nyaman di kota malang,negative,negative
"pelayanan sangat baik, ramah tempatnya juga oke, sangat recommended",positive,positive
Sudah bagus dan baik dari tempat dan penampilan pegawai... hanya dri segi pelayanan meski sudah bagus tpi ada beberapa hal yg masih harus d tingkatkan...,negative,negative
Sangat membantu khususnya after sales utk pemindahan data dr hp lama,negative,negative
Beli disini memuaskan customer service nya bagus dan bisa mengarahkan ke inginan consumen. Garansinya langsung ke makernya. Good,positive,positive
"Pelayanan memuaskan, tempat representatif... Semoga kedepan tetap dipertahankan bahkan bisa lebih baik lagi",positive,positive
Sukses terus . Nanti balik beli HP lg,negative,positive
Recomended banget,positive,positive
Jossss,neutral,neutral
"Toko HP yg cukup lengkap di malang, pelayanannya ramah. Bisa kredit juga",negative,negative
"Harga dan koleksi varian hp nya sama dengan di counter resmi, tapi sayang promonya gak sama, cuma kelebihannya disini macem one stop center segala macem merk hp. Oh ya parkirnya gratis itu mantap!",positive,positive
"Pelayanan di tiga putra sangat bagus,karyawannya Ramah"",dan kualitas hpnya gak perlu di ragukan pokoknya tiga putra the best lahh☺",positive,positive
"Belanja di Tiga Putra Kawi lebih terjangkau, pelayanan customer service yang sangat membantu, barang barang yang terbaru udah tersedia juga, dan yang paling penting harganya lebih murah dari toko toko yang ada di malang",negative,negative
Tempat nyaman pelayanan ramah..,positive,positive
"Terima kasih atas pelayanan , respon yang Baik barang bagus",negative,negative
Tempatnya nyaman dan bersih. Pegawainya ramah dan baik pada customer. Variant warna & type handphone pun lengkap. Sukses terus Tiga Putra!,positive,positive
"humble service, good explanation, and spacy parking",positive,positive
Cuman bisa bilang ISTIMEWA.,neutral,neutral
pelayanan bagus bgt ramah murah senyum,positive,positive
"Pelayanan memuaskan mulai dr dtg sampai pulang. Stafnya ramah, harga murah. Cm tolong diadain program cicilan 0% untuk pembayaran pke CC, soalnya srg ngutang, hahaa...",positive,positive
"Tmp nya nyaman dan luas, hp yg dijual lengkap, pelayanan bagus dan cepat, saat nunggu dpt teh hangat.. rekomended bgt, sdh langganan beli hp nya sll disini, terbaik deh di kota malang.. tetep dipertahankan ya....dan dibanyakin lg promo2nya ya kak...",positive,positive
Pelayanan mantap & memuaskan.,positive,positive
"Senang sekali sudah belanja di Tiga Putra Kawi, disambut dan dilayani dengan ramah dan komunikatif. Recommended banget untuk yang cari gadget.. Sukses selalu Tiga Putra Kawi",negative,positive
"Tempat luas, parkir mobil cukup nyaman, pelayanan ramah & sabar, pilihan hp ada : samsung, oppo, vivo, dll.....pernah beli hp 2 dalam 2 minggu di tempat ini....terima kasih atas pelayanannya...",positive,positive
"Memuaskan.. harga lebih murah dibanding bbrp counter hp resmi, pelayanan baik dan ramah. Dan bisa bantu pindahkan data kontak,foto,video, aplikasi dari hp lama ke hp baru yg kalo dikerjakan sendiri butuh waktu berhari2/sampe mingguan, ini cuma 1,5jam (data yg dipindahkan juga sangat besar sampe 40GB).",negative,negative
"100/10, servicee nya mantapp, baik2 banget kakaknya, proses mudah dan cepat",positive,positive
Pelayanan sangat memuaskan ramah dan barangnya semua oke oke,positive,positive
"Ngiler hape anyar, hape dewe wes 1 dekade",positive,positive
Pelayanannya ramah banget.. Penjelasan produk detail dan keren banget.. Harga bersaing dengan toko lain.. di jamin lebih murah.. Sukses selalu,positive,positive
"Pelayanan yang ramah, dan ruang tunggu yg nyaman. Area parkir luas dan free parkir.",positive,positive
"Pelayanannya ramah, tempatnya nyaman,parkir juga mudah dan luas",positive,positive
Pelayanan sangat puas. Ramah dan sopan. Meskipun banyak nanya mas nya sangat respon hehe..semoga tambah sukses @Tigaputrapasuruanjatim,positive,positive
Barang2nya sangat murah dan juga pelayanan sangat membuat pelanggan ingin kembali,positive,positive
Pelayanan ramah banget... Barang nya juga bagus...,positive,positive
"Pelayanan ramah,santun,tempat bersih harga terjangkau barang jga ok gk ada masalah.",positive,positive
"Terima kasih kepada tiga putra, sudah baik pelayanannya, semoga lebih meningkat, semoga rejekinya lancar semua, Aamiin ☺",positive,positive
Pelayanan memuaskan Harga OK Barang Original Puaslah belanja d sni,positive,positive
"Pelayannan ramah dan tempat nyaman , hanya agak panas ga AC",positive,positive
"Untuk pelayanan sangat ramah dan orang"" Yg di sana juga suka becanda, tempatnya juga enak santai. Untuk pemilihan barangnya juga ada macam"" Tipe per merk hp jadi kita menang pilih, yang mau beli hp recommended bgt di 3 putra ini",positive,positive
"Pengalaman pribadi, dtg d sambut dengan ramah. Ditanya keperluan ( disini cum terima orang beli hape dan ekosistemnya , klo mau lahiran di sebelahnya) cek hape yg d inginkan trus pilih metode pembayaran kau mau apa kredit bisa, lengkap mau pilih apa ada semua. Pake kk bisa , tunai super bisa sekali. G ada biaya parkir drpd d onoh d prat prit. Sukses selalu tiga putra",positive,positive
"Area parkir luas, tempatnya luas. Staff nya ramah",positive,positive
pelayanannya ramah tempatnya luas bagus dan strategis parkiran luas. danhp apapun ada disana.,positive,positive
"Sejauh ini masih menjadi tempat favorit di saat butuh gadget baru. Pelayanan bagus, akses mudah, tempat parkir pun aman dan nyaman.",negative,positive
Tempat dan pelayanan bagus...,negative,positive
"Tempat beli hp, tablet yg nyaman, salesnya ramah dan menguasai produk dgn baik..",positive,positive
"Untuk saya yang baru pertama kali beli produk di toko Tiga Putra, pelayanannya baik, ramah, tempatnya nyaman, dan secara keseluruhan memuaskan",positive,positive
Pelayanannya cukup bagus dengan fasilitas yang memadai,negative,negative
Terimakasih ya.... Pelayanannya beli hp d antar kerumah ...hehheeh,positive,positive
"pelayanan ramah, tempat nya juga luas dan cukup lengkap",negative,positive
"Lokasi strategis, tempatnya nyaman, barang yg dijual cukup lengkap, pelayanan cukup prima.",neutral,negative
"Tempatnya bersih dan luas, ada banyak kursi buat duduk jadi yang nemenin gak capek. pelayanan sangat ramah dan pengecekan barang secara mendetail.",positive,positive
pertahankan terus ya keramahannya,positive,positive
