processed_text,sentiment
puas banget belanja tempat nyaman pelayananya ramah baik banget harga ter the best thanks rekomended banget,positive
beli hp selalu bagi stock walaupun ghoib pelayananya mantap harga lebih murah,positive
mantap servicenya,positive
recomended store hp,neutral
pelayananya pegawai ramah hrg luamayan murah banding toko sering kasih promo sukses terus deh buat,positive
salesnya baik ramah tempat barang oke harga jangkau layan cepat,positive
pelayananx sngat muas karyawan kali ramah,positive
tempat luas bersih pelayananya cepat ramah,neutral
layan ramah jelas cepat tempat nyaman rapi,neutral
sales are very kind friendly and polite the goods are very very good and very very satisfying,positive
puas banget pakai hp baru spek nya sangat penuh butuh betul wrnanya pas banget favorit pelayananya sangat muas banget hargnya grosir banget loh recomend banget beli heheh,positive
sih sempat kosong hp beli layan ramah,negative
layan service nya baik ramah barang kendala,neutral
hp cari lengkap mulai harga ratus ribu puluh juta mas mbak nya ramah,positive
tempat nyaman cocok buat cari hp baru,neutral
layan responsif barang original,neutral
tempat favorit kalo beli hp kota tempat luas banget parkir mobil gratis pelayananya super gercep tips nya kalo mau beli hp tentu dulu range budget harga berapa mau terus pas tinggal bilang berapa budgetnya bakal kasi banyak pilih serta lebih kurang merek sana enak kan pelayananya oke banget cepat harga pas pokok no tipu tipu lah pilih variasi brandnya banyak cus laah garansi,positive
layan ramah jelas kait fitur smartphone tempat asik parkir luas gratis,positive
sangat sesal beli hp dua baru beli aku pakai hari cek sana enggak salah aku bawa pulang aku taruh lemari aku hidupin keluar garis garis layar kedip aku bawa toko kawi aku coba tanya suruh bawa mog sesal hp baru masak mau servis bongkar kan baru bisa ganti hp baru jadi pelang senang sangat sesal custamer jauh jauh desa cuma pengin buat anak bagia belikan hp baru buat sekolah meski promo promo tarik hp aku buang dijln buat apa hp baru rusak barang rusak jangan jual buat direktur mohon maaf kata sangat kecewa sangat kecewa maaf bos data ku lengkap kalau mau bantu knapa enggak pas aku sana pas aku bawa hpnya knap baru sekarang jawap knapa waktu sana jawapanya kan langsung tangan hp kondisi utuh sjrng hpnya aku lempar jalan tinggal dusboknya rumah kesal buat apa aku bilang aku sempat wa wa masak tulisanya apa maksud kata nya enggak sepatuutnya buat apa aku balas buat uang harga meski sedikit cari susah,negative
sangat kecewa pelayananya,neutral
pelayananya sangat ramah tempat nyaman,neutral
good service fast friendly hopefuly the customer is satisfied,positive
pusat jual hp tempat luas bersih nyaman harga saing,positive
promonya mantap,positive
service layan sales oke banget proses cepat,positive
sangat puas sama pelayananya expert tg product knowledgenya simulasi detail mantap pokok keren toko,positive
layan cepat ramah harga jangkau nikmat banyak diskon nya takut punya hp baru kalah sama butuh aju credit bunga rendah garansi resmi,positive
suka belanja pertama nyaman tempat dua costumer nya ramah baik bantu segala proses butuh beli tiga harga miring semua hp mau ingin sana moga depa lebih baik tingkat ada promo tarik nya,positive
pegawai ramah jadi bikin betah,positive
layan nya ramah untuk mbak fatma,neutral
harga murah se raya pegawai ramah,positive
kualitas barang oke mantap layan,positive
harga sangat saing ramah tambah sukses,positive
produk jual cukup muas sayang servis jual utama mog sangat kesal transaksi jelas kilas utak atik fitur hp sendiri rumah jadi mohon perhati puas pelang jangan asal jual target penuh trmksh,positive
top service super careful people super recomend,positive
layan sangat tetap jaya sukses,positive
layan oke tempat belanja aman nyaman sukses selalu buat,positive
recomended banyak diskon pasti harga kualitas adu layan ramah kali terima kasih kak,positive
layan lumayan oke jelas banyak banding brand sih,positive
harga saing lengkap,positive
lengkap harga saing,positive
kali transaksi pelayananya muas les sangat ramah terimakasih,positive
sales ramah barang jamin enggak kendala,negative
tempat barang oke sales muas kan sayang ruang tungu konsumen nya sedia air mineral azha sih,neutral
layan baik ramah,neutral
sales counter nya ramah produk beli jelas baik enggak salah langanan beli hp sini,neutral
semua oke pelayananx cepat salesx ramah sangat bantu tiap beli hp baru,neutral
knowledge produk sales mampu edukasi castamer baik layan excelent servis,positive
tarik pasang gorila glas nya kurang sempurna kanan kiri atas bawah buka dikit,negative
pelayananya sigap ramah great,positive
terimakasih,positive
pelayananya baik harga nya ramah kantong sesuai kualitas produk,positive
harga relatif murah pelayananya cukup ramah,neutral
standnya tempat duduk desain stanya nyaman pokok sini salesnya ramah jelas baik banget sabar banget bombardir tanya proses cepat free ac hp kemarinpelayananya muas pokok,positive
toko parkir luas barang cukup komplit sales jelas barang baik,positive
layan ramah cepat harga jamin lebih murah kualitas jamin tempat makin luas sekarang mantap deh kalau kesini,positive
sales ramah sabar beri jelas produk hp,positive
layan baik,neutral
trimakasih layan sangat baik barang,positive
alhamdulilah pelayananya kece abiis barang cek bareng terus gercep ramah enggak usah ragu deh buat beli,negative
mantap salesnya ramah sopan barang pasti harga jangkau,positive
cs nya ramah jelas al out,neutral
service oke unit oke,positive
sami sami,positive
pusat hp cukup besar tambah cafe buka malam,neutral
layan customer servis nya ramah baik cantik,positive
layan ramah selalu ikan rekomendasi baik,neutral
cukup recomended,negative
sales nya sangat bantu layan baik klaim garansi mudah bantu selesai,neutral
pegawai ramah semua,neutral
paling lengkap curah,neutral
toko promotor oke,positive
keren banget semua produk lengkap sini pelayananya keren tempat recomended deh buat beli gadget sini,positive
sip,neutral
tempat besar mud ah temu parkir luas protokol sehat baik layan ramah hp aksesoris lumayan lengkap harga beberapa mahal overal standard lah,positive
pelayananya tempat nyaman,neutral
perlu handphone ini tempat,neutral
pegawai baik ramah,positive
lumayan,neutral
lokasi parkir sekarang cukup luas barang jual,positive
tempat faforit beli hp karyawan ramsh,neutral
habis beli hp sini enggak bonus merchandise hehehe,neutral
banyak promo,positive
mau beli hp apa kunjung,negative
selalu baik beberapa kali belanja kesini,neutral
terima kasih khusus mbak eliza selalu sabar paham banyak tanya mau ku langanan sini awal nya,positive
barang lengkap mbak lumayan jelas moga obyektif suasana toko beranta sedang expansi ac nya kurang kuat,positive
layan sangat muas mas mbak nya ramah terima kasih,positive
toko pegawai ramah,positive
barang nya kemarin papa ku beli hp vivo se,neutral
pegawai ramah layan sopan profesional alam,positive
tempat layan ramah mas faiz jelas si ultra sangat detail rekomended sih,neutral
tempat nyaman area parkir luas tak roda penguna roda empat enggak perlu khawatir cari lokasi parkir sedia banyak pilih unit bagai tawar salesnya ramah informatif jelas cari hp kawasan jadi alternatif cabang sini,negative
cari enggak sih mas mas nya gercep asih pilih sesuai sama mau,neutral
mingu lalu soya beli hp samsung harga tempat,positive
nice place,positive
harga saing layan tempat nyaman parkir luas recomded deh buat mau belanja kesini,positive
layan puas tempat parkir luas,positive
tempat nyaman parkir luas layan muas,positive
layan ramah produk kualitas harga miring kadang layan lupa beri bonus atas beli,positive
harga hpnya saing toko kenal lai tempat nyaman parkir mobil luas,positive
ramah tamah,neutral
toko hp lengkap jual produk produk baru layan sabar informatif,positive
layan ramah harga cukup saing,neutral
tempat cukup nyaman plyanan baik protokol covid baik jenis smartphone jual cukup agam recomended,positive
luas tempatnyq,positive
tempat nyaman terlalu ramai pegawai ramah,neutral
mbak nya ramah cantik layan nya baik pernah tanya barang datang toko terus suruh datang toko nya pas toko barang nya kosong kecewa,negative
keren banget ramah sales nya,positive
harga lebih murah layan ramah nyaman,positive
kurang lengkap harga tawar relatif lebih mahal,positive
cuma sharing sih kesana beli hp xiao salesnya tau kok arah op terus jadi kurang nyaman salesnya ngotot produk,negative
layan cepat harga banysk discoun,positive
sedia hp promo tarik,positive
terlalu banyak varian hp aksesoris layan parkir cukup luas karyawan ramah,positive
layan baik,neutral
kak service hp realme sini hp realme gampang panas tiba tiba kalo panas hp jadi lot kira kira kena apa nya,negative
langanan hp,neutral
came here sih handphone acesories the display space colection are limited think,neutral
kebanyakn spg kurang kuasa produk knowledge,positive
layan baik type hp lengkap harga sesuai kualitas,positive
enggak semua pegawai paham apa jual,neutral
lumayan murah harga hp,positive
sesuai jelas ikan bagi customer service,positive
mantap ges tak tanding layananya,positive
lengkap layan ramah,neutral
kalo beli hp selalu sini mungkin selisih beberapa puluh ribu layan nya sini ena enggak terlalu ramai parkir enggak susah,negative
luas,positive
habis beli smart phone sini pelayananya harga murah waktu check unit kes asal an buka dus terus cek fisik fungsi charger sama streaming youtube padahal biasa kalau tempat kece layar warna warni cek touch screen microphone pangilan dulu iya padahal store nya cozy modern toilet kurang layak moga sgera baik,neutral
harga saing,positive
layan nya sangat ramah,neutral
yeah,neutral
mantab layan ramah,neutral
counter handphone lengkap raya,neutral
good service right place good price good parking good lah pokok rek,positive
saran bndingkan harga toko dulu alam,positive
harga realme sih orang berapa,positive
umum layan sangat muas harga standar murah mahal masuk lebih murah beberapa counter klaim diri murah garansi percaya suka beli sini tempat bersih besar parkir luas banyak karyawanya helpful,positive
mbak nya was very kind and very helpful,neutral
dekat alun alun kota,negative
tempat luas tugas ramah,negative
baru,neutral
bersih pelayananya cepat,neutral
pelayananya,neutral
nice place buy smartphone,positive
cepat minum free costumer,neutral
sedia bagai macam smartphone aksesoris nya jadi perlu repot pindah pindah toko,positive
baik sopan santun murah senyum cantik,neutral
tempat baik,negative
beli cicil pakai jartu bank,neutral
lumayan,neutral
harga atas meteor barang banyaknyg kosong nokia asus info datang mau tiap mingu kesana sama,negative
good place,positive
lumayan murah kok,neutral
biasa,neutral
pilih layan maksi,negative
kemarin sini beli realme pro harga lebih murah toko belah aku banding layan bintang segala jenis smartphone aksesoris kurang lengkap bahkan pas aku beli kupon undi hadiah motor,positive
layan muas,positive
sedia bagai merek jenis handphone harga saing,positive
tempat layan barang,negative
layan pihak toko oke banget,positive
waktu tungu terlalu lama barang ready,negative
sering promo undi hadiah,positive
nice place buy new phones good salesperson as wel,positive
layan nya,neutral
layan baik terimakasih kesini cari xiaomi redminote pro versi ingat stock barang cukup ghoib untung ahirnya warna putih betul stock barang putih grey bawa kendara baik roda atau roda tempat parkir sedia cukup luas jaga security pakai cukup rapi,negative
tempat beli hp tepat buat kamu suka hp bramded good quality,positive
mahal,positive
kerja samping,neutral
tempat nyaman pilih aneka smartphone,positive
tempat gadget harga saing,neutral
tempat nyaman,neutral
ramah jelas sales counter sangat jelas goodlah,neutral
rame,neutral
mobile phone shop,neutral
nice,positive
gan mau tanya si enggak bekas gp,neutral
murah nyaman layan,positive
toko hp lumayan,neutral
harga rakyat tempat nyaman recomended buat cari hp kini,positive
lokasi nya enak,neutral
layan baik tempat cozy harga kompetitif recomended,neutral
layan okay parkir luas,positive
langanan tahun tahun harga murah tempat,neutral
salesnya ramah soal harga kompetitif lah,neutral
lengkap semua handphone sedia spg spb nya banyak banget malu dikerumunin mau lihat lihat hp layan ramah baik santuy,positive
belanja rekomended,neutral
layan jelas produk tawar sangat manfaat jadi calon beli lebih yakin barang beli,positive
tempat nyaman ramah ramah,neutral
pelayananya tugas ramah,negative
layan mbak lia nya sangat bantu,neutral
layan cukup baik,negative
layan jelas produk detail puas,positive
jadi favorit kalau mau beli hp keluar baru harga pas kantong pelayananya baik ramah good job tahan terus,positive
harga layan ramah tempat nyaman recomended,positive
layan ramah baik sangat bantu bingung pilih produk,neutral
display toko terang cahaya nya layan nya ramah tangap,neutral
layan ramah product knowledge variasi pilih bayar,negative
beli hp sini undi nya lho tempat nyaman contoh hp nya barang orisinal layan nyaman parkir gratis paling penting pilih puas nya cafe nya enak banget deh,positive
pelayananya cepat beri jelas terus tingkat layan customer murah senyum,positive
keren nyaman ramah selernya,positive
nyaman ramah,positive
nice service comfy place,positive
beli hp aman muas,positive
layan oke ramah,positive
cari hp parkir luas,positive
proses sangat cepat,positive
karyawan sangat ramah trmpat bersih harga handphone jangkau,positive
alam sini po pro barang contoh nya walaupun hp nya punya pegawai usaha tunjuk barang po konsumen,positive
baru beli handphone opo si kondisi baru segel tempat jam handphonenya rusak layar mati nyala padahal beli handphone second counter hp biasa enggak mungkin rusak waktu kurang jam,negative
layan jual beli handphone tukar tambah layan ramah,positive
enak tempat gede,negative
pas ketemu sales promotion ramah kuasa lebih kurang smartphone jadi beli smartphone,positive
toko handphone harga saing layan baik barang asli garansi,positive
nyata enggak lengkap kata orang,negative
layan aftersale kalo ikut garansi bulanya,negative
pelayananya cekat ramah,neutral
tarik,positive
tempat luas pegawai ramah jelas,positive
layan cepat,neutral
pelayananya lama banget capek nungu padahal sepi banyak pegawai ngangur jual hape barang ngambil dulu soal enggak sedia parah sih,neutral
terima kasih,positive
layan okee banget lumayan lengkap sih harga sesuai pasar lah,positive
tempat baik murah segala merk smartphone,neutral
ruwet nguruse,negative
quite good,positive
exclusive varian ponsel cukup lengkap layan standaed harga cenderung tingi garansi toko bayar extra,negative
layan muas sabar pegawai,positive
the salespersons truly understand the product knowledge of every products sold there,neutral
datang niat beli redmi note ram kemudian arah spg nya buat beli opo awal tetap mau cari redmi spg nya terlalu lebih kan kualitas opoa banding redmi pancing jadi beli beli opo akhir rumah sesal lihat banding reviewnya mana buat game enggak enak performa kalah sama redmi si harga juta spg nya kalau bohong jangan lebih produk laku kasihan orang desa kayak mudah pengaruh,positive
pegawai sales opo niat beli hp opo malah diarahin opo terus putus beli opo pelayananya langsung enggak enak banget,positive
layan sih lengkap banyak pilih beli mau cek fisik hape enggak meja en kursi banyak sales mungkin cust mau duduk bingung semua didudukin salesnya main hape semua akhir arah duduk area kasir deh,negative
very intersting,neutral
kali beli hp sini enggak pernah kecewa harga saing meteor indocel,neutral
ownernya ramah murah,neutral
tempat nyaman layan nya sangat baik staf nya ramah sangat bantu,neutral
pelayananya good,positive
ruang sedikit panas pengap ac kurang dingin sus hp asesori nya lengkap lokasi premium bisnis dekat mog,negative
hg,neutral
layan sip,neutral
tempat langanan beli gadget hp,negative
toko hp cukup lengkap pegawai ramah helpful,neutral
mau cari hp acecories nya sedia sini mahal dikit memang berani kasih garansi toko lama bulan kalau rusak ganti baru bikin tenang sih segala macam merek sini semua stok cepat habis buru beli deh mending,negative
hartono electronic,neutral
the stafs have great product knowledge on the stuf their seling,positive
lengkap banyak diskon promo recomended lah,positive
murah kualitas,positive
sini tempat luas display produk bagai brand coba jadi seperti standar gerai hp besar sekarang lah kalau harga rasa lumayan kompetitif lebih murah lebih mahal toko beda enggak jauh banding toko franchise macam erafone,negative
pilihanya banyak layan,neutral
mahal kurang lengkap hp nya,neutral
stock for phone realy not recomended btw good service and lots of parking area,positive
ramah layan lengkap beli hp,neutral
complete handphone store also good price,positive
nice place buy phones friendly sales not overpriced there are some smartphone acesories too,positive
tempat nyaman pelayananya ramah harga jangkau,positive
tempat mewah karyawan baik,neutral
cari cari hp baru lumayan lengkap,negative
the first thing love from this place is the clerks they are very informative responsive and polite like spend my time just for discusing the product they sel this place has various promo as wel can find most of the gadgets want know here this is the first place visited when need get information about gadgets orang when acompany my friends buy their gadget the parking space is spacious and there is no charge for the parking,positive
mahal,positive
recomendasi,neutral
lumayan humble,neutral
lengkap hpnya,neutral
harga lebih murah tipe tentu pelayananya muas lebih pilih beli ofline langsung toko pegang barang diskusi tg kurang lebih tiap produk,positive
karyawanya baik ramah ngejelasinya enak enggak maksa hehe,negative
harga layan lumayan,positive
besar banding gajah mada,neutral
produk hp lengkap sayang pegawai nya kurang asik,positive
cukup bayar rp bawa hp idam kerja sama spektra,positive
antar teman cari hp,negative
tempat nyaman bersih dingin layan layak bintang,neutral
kalau perlu hp baru kesini jamin mutu layan baik harga nya wajar lah,neutral
has wide space parking lot and low price,negative
tempat cari smartphone aksesorisnya,negative
ramai jangkau recomended,neutral
layan kurang cepay,negative
tempat mudah jangkau parkir luas banyak pilih gadget harga murah mahal,positive
salah satu toko handphone besar kota hampir semua type handphone sedia tempat sedia acesories handphone power bank kualitas beli handphone tunai maupun kredit kredit layan hci megazip aeon layan sangat ramah recomended buat mau ganti handphone,positive
pernah ngater teman beli hp sini mbak nya jelasin speksifikasi hp nya ragu ragu padahal awal temenku browsing hp nokia finger print nya mbak nya bilang enggak tanya teman belah nya brosur tulis nya terus kalo kayak begini bagaimana mau tawar hp costumer kalo spek hp nya enggak tau terus pas waktu unboxing hp mas mas jelasin nya cuma isi hp tau lah enggak jelasin bagaimana pakai pertama ngecasnya berapa jam temenya belakang tanya bagi belakang hp finger print bukan mas nya jawab enggak tau spontan dong teman ku jawab finger print depan tombol home mas malah canda sama mbak belah akan enggak merhatiin depa untung hp duit duluan saran deh buat mas mbak spg nya tambah tahu hp mau jual custumernya padahal tempat nyaman enggak parkir,negative
beli hape sini murah riah layan oke rekomendasi kamu cari hp murah banyak varian type merk parkir luas gratis,positive
cash kredit sales counter cantik cantik ramah,positive
kredit,neutral
sangat maksimal percaya,positive
toko handphone satu konsep modern kelas lokasi ada jalan bahan mal olimpic garden tempat sangat lihat premium nyaman layan pegawai toko ramah sahabat tempat parkir sangat luas gratis,positive
lengkap nyaman murah,positive
parkir luas,positive
murah tempat nyaman,neutral
pelayananya excelent,neutral
murah,neutral
recomended,neutral
lengkap layan fasilitas parkir luas modern pakai credit card,positive
lengkap koleksi hpnya,positive
great,positive
lokasi bukan tepi jalan utama buat tempat enak tenang diri ramai,negative
tempat,negative
lokasi strategis parkir luas,positive
toko hape ruku baik beli hape harga baik jangkau milik sangat peduli giat muda mud raya utama giat seni kebudayaanya wujud acara opo dance competition,positive
beli hape sini,neutral
tempat nyaman belanja senang pramuniaga familiar jadi betah belanja hp sini,positive
hp murah,neutral
good,positive
nice service sedikit tergangu spg spb tonjol kan suatu produk sedang fokus suatu produk mungkin akibat sistem bonus beri produsen thd spg spb hasil jual produk produsen standar beri bonus rusak nama baik toko imho,positive
layan cepat ramah layan paling utama,neutral
tempat belanja hp lengkap malang mantab pokok sukses terus pelayananya ramah erti hp cepat,negative
keluh soal warna hp samsung pengin warna biru kata spg samsung warna biru bayar buka kecewa buka kok warna ungu spg mohon lebih teliti,negative
hp center layan prima,positive
baik pelayananya ramah tempat,negative
nyaman sayang lengkap,positive
pelayananx mantul mbak ramah suarax lembut banget maux lama sini penjelasanx lengkap detail banget,positive
deh pelayananya,neutral
tempat strategis lihat kendara umum sip deh,positive
good and nice service god job,positive
layan sangat baaiik,neutral
good place for gadget and aice ice cream,positive
ramah nyaman hehehe,positive
pelayananya baik,neutral
harga kalau lebih murah,positive
pelayananya muas rekomend banget buat beli hp,positive
layan nya sangat muas,positive
tempat belanja hp aksesorie cukul lengkap kota tempat sangat nyaman tambah parkir luas gratis jaga aman satpam tugas harga relatif lebih murah banding toko toko kota,positive
layan cepat layan ramah,neutral
servis cuma harga lebih mahal,positive
harga layan muas,positive
barang,neutral
layan sini sangat harga cukup saing konter,neutral
sangat baik,neutral
layan sangat baik harga saing lebih murah toko fasilitas konsumen pada hapy nyaman belanja hp,positive
lokasi strategis tempat nya nyaman mbak mas ramah banget jelas produk rinci mudah paham,positive
layan baik pegawai ramah cepat kalo beli hp selalu sini kualitas enggak pernah bikin kecewa,positive
spesifikasi sayang hansetnya enggak,positive
moga lebih sukses depa,positive
tugas ramah sahabat layan customer tahan tingkat masa datang sukses selalu oficial,neutral
cukup,negative
harga mahal,positive
toko strategis mudah temu layan cepat pegawai antusias produk banyak laku bayar bagai cara pilih baik komunikasi,positive
hati belanja toko banyak tipu,neutral
staf ramah telaten,positive
pelayananya tempat strategis,negative
layar baik muas,positive
layan sangat nyaman baik ramah cepat rasa puas layan warga pengin hp murah kualitas datang langsung oke menit nih hp impi,positive
layan enggak banget pegawai ngerumpi mesti cara nge treat enggak enak banget sana lihat lihat mau beli hape seragam sekolah mbak jutek waktu lihat brosur usir halus mas brosur baca rumah datang sama orang tua bagai raja mending beli mal belah layan pilih lengkap,positive
lumayan lengkap,neutral
nyaman buat belanja hp parkir luas,positive
pelayananya terus ramah,neutral
pelayananya baik,neutral
baik pelayananya,neutral
pokok the best,neutral
harga kalah saing,neutral
pelayananya pegawai ramah,positive
toko handphone lengkap garansi resmi masuk cepat masuk sini toko online harga saing,neutral
sangat baik,neutral
good place good service,positive
layan rama harga jangkau,positive
tempat sangat nyaman besar acesories lengkap jamin asli yuk gaes datang tigaputra,neutral
lindung hapenya lengkap bukan cuma tamper glas silikon tebal hape sedia,neutral
beli hp opo pilih warna kosong lalu ramah tawar inden dulu hari lalu besok kabar kalo barang datang alhasil deh pembayaranya pakai kartu kredit cicil belia via blibli display nya kurang banyak,negative
parkir luas gratis pramuniaga nya ramah tangap layan prima kualitas handphone banget banding tempat,positive
ramah lengkap,neutral
layan lumayan,neutral
kemarin tanggal juli niat mau beli xiaomi redmi note si cus sana gara gara malemnya lihat promo reno instagram pas sana mbak bilang harga naik ribu lah gp aku langsung minta barang mau bayar terus aku tanya soal si harga lumayan miring banding toko eh malah mbak tawar produk aku sama enggak tau mbak omong terus menit aku biasa enggak tarik tetap kekeuh pengin beli reno si eh enggak tau aku akhir malah beli produk padahal harga enggak murah lumayan lah pas banget mbak buka segel hp aku buka wa hp ku lama wa bilang kalo reno enggak jadi kesana malemnya aku wa dulu baru balas siang waktu aku lanjur beli hp pas pulang aku sesal beli produk aku coba balik mau tuker bagaimana lah pokok enggak mau hp eh nyata enggak mau tukar tambah mau dibalikin enggak pokok jelas lah aku rasa tipu lah instagram bilang pas kesana bilang aku tanya wa jawab enggak lah bagaimana coba pantesan waktu aku deal reno mbak malah alih lai lah wong barang enggak akhitnya aku tuker tambah hp tempat rugi lumayan ribu wes pokok kapok enggak bakal kesana,positive
semua stok memory tambah,negative
ayu good service,positive
ramah humble fast for service and al,neutral
good enough,positive
feel good,positive
puas,positive
tempat mudah jangkau produk mobile lengkap sini,neutral
tempat nyaman pelayananya cepat customer ramah,neutral
layan baik,neutral
layan muas,positive
muas,positive
pelayananya puas,positive
senang belanja tugas ramah harga murah,neutral
tempat rekom banget buat beli handphone pegawai ramah,positive
beli redmi buah,neutral
fast service and good price for gadget,positive
layan excelent,neutral
servis kosumen muas thask,positive
toko lengkap murah layan sangat baik ramah mbak nun belanja hp sini,neutral
layan baik malang raya harga asus murah promotor baik ramah,neutral
layan prima senang utama layan mbak oktavin ayu carlina,positive
layan baik karyawan ramah terimakasih,positive
lengkap,neutral
layan konsumen,neutral
alhamdulilah nyaman ramah pelayananya moga makin lebih baik,positive
harga stabil,positive
pelayananya muas terimakasih,positive
layan ramah cepat mungkin tingkat konsultasi smartphone sesuai budget beli,positive
trma kasih layan prima sip tenan,positive
ac nya kurang lengkap,negative
layan baik mbak nya ramah,neutral
cukup muas,neutral
layan baik,neutral
nice jobs,positive
layan sangat baik jelas cukup baik ramah,negative
layan nya cepat dam ramah,negative
lengkap percaya,positive
very good,positive
layan ramah barang,neutral
layan nya sangat baik jelas,neutral
gud place for lu phone cel,neutral
pelayananya oke,positive
layan sangat bantu sangat muas,positive
harga lumayan saing murah,positive
karyawanya baik,neutral
mbak nya baik ramah sopan nyaman habis,positive
trimakasih layananya recomend banget,positive
layan ramah harga murah,positive
layan ramah harga lumayan sama kayak online shop beda dikit,negative
kurang bersih layan bingung makan murah menu enak sop iga mantap,neutral
pramuniaga sini cukup ramah baik jelas barang perlu customer,neutral
layan nya oke harga sahabat thanks,positive
layan okey banget,positive
sopan ramah,neutral
enak sini pegawai ramah ramah terus parkir luas atap jadi enggak takut panas deh,positive
sangat,neutral
pelayananya baik ramah muas,positive
bsgus,neutral
marketing sangat sopan,neutral
playanan komplit tinggal pilih very recomended,negative
bintang dulu,neutral
mkasih mbak pelayananya ramah muas,positive
good place good service,positive
pelayananya maksimal,positive
mbak nya ramah sabar pokok hospitality banget deh,positive
banyak pilihanya lengkap acnya,neutral
layan cukup muas,neutral
harga murah layan,positive
layan sangat baik muas sehinga adek paham hp beli,positive
pelayananya cepat,neutral
excelent servicenya thanks for zenfone,positive
rating kasih utama buat mas nya,positive
layan tugas ramah,negative
layan produk sedia sangat,positive
layan ramah cepat sok helpful,neutral
good services and low price nice job,positive
mantab layan,neutral
layan cukup baik saran barang display lai,negative
terimakasih atas pelayananx sangat muas moga tambah ramai toko,positive
cuma numpang lewat henti ambil cs grab luar kayak tempat nyaman parkir luas,negative
good service pelayananya muas jasa cukup jelas thank you,positive
pelayananya cepat,neutral
deh,neutral
layan muas sopan santun jaga,positive
fast respond sangat bantu review hp pelang baru,neutral
layan ramah muas,positive
amazing,neutral
layan muas pelayananya cepat jadi senang terimakasih,positive
suka pelayananya orang nya ramah,neutral
muas pelayananya,positive
maaf mbak tadi bintang pencet but its okay laah keren servicenya nya,neutral
layan baik awal datang beli,negative
tempat nyaman parkiranya luas pelayananya cepat ramah,positive
servis exelent,positive
trimakasih mbak,positive
ramah cepat baik oke,positive
nyaman enak,positive
tempat nyaman harga aman layan cepat ramah,positive
barang produk sesuai harap,positive
deh,neutral
good service ramah but mas nya pas,positive
good service,positive
layan cepat mudah ramah,neutral
pelayananya mbak ramah,neutral
sukses tambah kembang pelayananya makin ramah cepat,positive
layan nya baik sopan terima kasih,positive
tempat nyaman harga aman layan,positive
sedikit kurang ramah langanan,negative
layan muas bantu barang lengkap store,positive
tempat nyaman staf ramah lengkap barang,neutral
good place good price,positive
layan muas jual ramah,positive
baik layan mas nya,neutral
layan baik mas nya,neutral
layan lumayan pilih hp lengkap,negative
layan tempat nyaman harga murah,positive
abang abang mbak mbak baik banget mau ngejelasin panjang lebar tanya tanya enggak habis sangat bantu terimakasih,positive
layan sangat baik puas,positive
aksesorisnya lengkap harga cukup jangkau,neutral
pelayananya sangat baik mbak nya jelas detail beberapa merk hp cari mbak nya sabar kakak langanan kalau beli hp baru kalau bonus tambah dong ada promosi undi biar makin tarik konsumen,positive
layan rekomendasi,neutral
baik pelayananya ramah,neutral
parkir gratis,positive
sangat pelayananya,neutral
toko layan ramah,neutral
layan sangat ramah rekomendasi banget pas,positive
layan baik jelas cepat terima kasih,positive
pelayanya tangap,neutral
layan muas mbak ramah,positive
cs nya ramah lupa nama bis dm ig lanjut toko pakai creditcard cuma kena charge banyak bonus,negative
lengkap ramah,neutral
pelayananya baik barang nya recomended,neutral
sangat puas pelayananya sangat baik,positive
layan ramah cepat pas,positive
laham ker,neutral
layan nya baik,neutral
lumayan sih,neutral
review edit kasih bintang bukan bagi quality check hp minta loginin google kasih bintang sendiri kurang fair sih review reviewnya paksa alam beli sini biasa salesnya kayak enggak niat jual hp malah bingung benerin gigi gara gara sisa makan harga biasa enggak terlalu murah selisih ribu sama oficial store samsung free power bank sini enggak dpet power bank cuman dpet tas kasih bintang,negative
fast service,neutral
putrakawi sepi pecinan sepi,negative
barang muas layan nya ramah recomended tempat buat beli hp,positive
layan cepat ramah kualitas jamin harga murah thanks,positive
okee,neutral
ramah mas sama mbak nya,positive
temat belanja butuh hp nyaman,neutral
parkir nyaman,positive
puas murah banding tempat,neutral
layan istimewa sesuai konsumen,positive
nyaman nyaman,positive
alhamdulilah sangat puas semua pelayananya sukses terus,positive
kualitas opo layan sistem kredit lengkap recomended,neutral
keren,neutral
tempat nyaman moga depa lebih maju,positive
ramah,neutral
best hand phone store,neutral
baru bulan pakai tempered glased samsung si pecah kualitas tanya be smart buyer banyak toko lebih baik lebih berkualiatas,positive
layan baik muas,positive
layan muas tempat nyaman,positive
ramah but lumayan mahal bayar mengunakan kartu debit via edc nak charges that is the smal things can pakai anoyed kalo pakai credit card sih enggak masalah debit card gaees,neutral
tempat nyaman karyawan nya ramah ramah,positive
quick respond si garansi jamin kualitas huwalah,neutral
layan mbak gayatri,neutral
kempat kali beli hp sin tahun senang,negative
layan sangat baik harga murah,positive
pelayananya cepat,neutral
sini aple store enggak,neutral
layan cukup muas,neutral
good servies,positive
good place good people,positive
good services good devices,positive
layan cepat peka customer ramah,positive
good places buy smartphone the staf is very friendly have bring my grandma this place buy smartphone,positive
customer servis nya baik murah senyum semua layan,neutral
lengkap waktu dulu cari hp android sini banyak semua gajual tipe cari semua banyak seri hybird sini sehinga kartu pakai semua enggak buang hybird system,negative
ramah muas,positive
sangat muas terimakasih banyak,positive
layan banget,positive
good servis,positive
